Contact Person,Designation,Organization
 Natrajan Jaiswal,Natrajan Jaiswal,OSHI B2B INDIA PRIVATE LIMITED
 Anant Singh,Director,OsteoQure Healthcare
 Karma Thutop,Director/Co -Founder,OurGuest
 Adwaith Gupta,Cheif Executive Officer,Paanduv Applications Private Limited
 Alok Kumar,Director,Paavni Organic Farms
 Sandeep Sogani,Director,PACKAUTO INNOVATION IND. PVT. LTD.
 SANDEEP PAGATUR,Founder and CEO,PAGATUR SOFTWARE PRIVATE LIMITED
 SANDEEP PAGATUR,Founder and CEO,PAGATUR SOFTWATE PRIVATE LIMITED
 Harmeen Sandhu,Director,Pahia Infotech Private Limited
 Poorn Prakash,Relationship Manager,Paintaso Art Studio LLP
 Anurag Shrivastava,Anurag Shrivastava,PampEarth Sustainable Solution's
 Abhay Namdev,Founder and CEO,Panthar Infohub Pvt Ltd.
 Saumitra Sahai,Paradigm,PARADIGM INNOMED
 Ashutosh Baheti,CEO,Paras Anti Drone Technologies Pvt Ltd
 Nikhil Jadhav,F,PARIVARTAN INNOVATIONS PRIVATE LIMITED
 Amrit Choudhury,Ceo& Founder,Parkobot (Goparkk Technology Pvt Ltd)
 DHIRAJ KARNAWAT,FOUNDER,parshwanath health consultancy llp
 KEVAL SONDARVA,CO-FOUNDER,Passdn Technologies Pvt Ltd
 Nitish Ranjan Jha,CTO,Pathwise Laboratories Pvt. Ltd.
 Sambathkumar Nagaraj,Founder,Pattuthadam
 Akshaya S,Founder,Paw Party
 MITHLESH JHALA,DIRECTOR,PAWSOME DOGGY DHABA EXPRESS PVT. LTD.
 Alka Mehta,Founder & CEO,PayAid Payments Private Limited
 Srijan Sharma,Srijan Sharma,PEBBLEJAR LABS OPC PRIVATE LIMITED
 Vivekanand Tripathi,Director,PeLocal Fintech Private Limited
 Kiran Baddi,Director,Pequrel Technologies Private limited
 Saniya Jeswani,Founder and CEO,Perkant Tech
 Ashish Jawa,Director,PERSONAL TOUCH PHARMACEUTICALS PRIVATE LIMITED
 Avinash Salunke,Founder Director,Pestosys LLP
 Naga Sai Jagadeesh Chitroju,Founder,PGFY
 Priyam Tyagi,Founder,Phantastic Bioplastics Private Limited
 Amit Sehgal,Director,PharynxAI Technologies Pvt Ltd
 MAHARSHI SUBHASH,Director,PHIMACH AEEROSPACE PVT LTD
 ROMAN SHAYO,COMMERCIAL DIRECTOR,PHOTONS ENERGY LTD
 Bhubon Chandra Mech,Director & CEO,Phra Narai Semicon Systems Labs
 Jaswant Singh,Founder,Physioplus Healthcare
 Vaibhav Mishra,Key Account Manager,Pi Green Innovations Pvt Ltd
 KRISHNA KUMAR,KRISHNA KUMAR,PICRAFT-TECHNOLOGY PRIVATE LIMITED
 Sumit Jain,Vice President,Pidge Technologies Pvt Ltd
 Manan Issar,CEO & Founder,Piltover Technologies
 Mohit Goyal,Founder,Pinecart
 Aditi Madan,aditi madan,Pinqstory Private Limited
 Vanshika Mangla,Co-Founder,Pitch Our Way
 ANSHU KUMAR MISHRA,FOUNDER,PKD ARENA PRIVATE LIMITED
 Rhea Singh,Head of ESG,Planet Protector Packaging
 Mihir Gandhi,CEO,Planetgreen Tech and Trade Pvt Ltd
 Shshank Shrivastava,Shshank shrivastava,Planterra banana fiber Pvt. Ltd.
 Dr Krishna Prasad,Director,PlebC Innovations Private Limited
 Vijayaraja R,Managing Director,Plenome
 SAILESH KUMAR Saw,Founder and director,PLUGMAN (KUFU PLUGMAN ELECTRONICS PRIVATE LIMITED
 Vivek Vivek,Vivek,Plugzmart
 Pradyumn Mane,Founder & Chief Inspiration Officer,PM Scientific Pvt. Ltd.
 Sonali Patil,Founder & Chief Nutrition Officer,Poshan For Life
 Preeti Agarwal,CEO,Positival
 AMAN RAWAT,Founder,Postfaym technologies private limited
 Manish Jain,Manish Jain,Power Profit Technologies Pvt Ltd
 RITUL SHAH,RITUL SHAH,POWERAUM ELECTRONICS PVT LTD
 Tanmay Chopra,CEO,PowerDelivery
 Vikesh Sharma,Founder,POWERMITRA CLEANTECH PRIVATE LIMITED
 Jayesh Nai,Co-Founder,Prahantam PVT LTD
 Karan Birpali,Founder & CEO,Prakarann Innovation Lab Private Limited
 Prajwal Sharma,Co-Founder,PRAM Educate IT Software LLP
 AMLAN BISWAL,Director,PRAMOD VIDYABHABAN PVT. LTD.
 ADITI MULLICK,Founder & Managing Director,PRASINOS TECH INNOVATIONS PVT LTD
 Anshuman Upadhyay,Director,Pravidhaan farmer producer company ltd
 Vijay Mamtani,Director,Prayogik
 Praveen Yadav,Chief AI,PRCEPT AI LLP
 Priyansh Negi,Co-Founder,PredCo
 Prabha Sunder,CEO,PredictML AiDatatech Pvt Ltd
 Shivanshu Dwivedi,Founder & CEO,Predulive Innovations Pvt. Ltd.
 CEO Cofounder,CEO & Cofounder,PrepAud
 ANURADHA THAKUR,ANURADHA THAKUR,Prian EMobility pvt Ltd
 Prithvi Chowhan,Director,Prica Labs Private Limited
 Amit Goyal,Director,PRIDE INDIA ENGINEERING SOLUTIONS PVT LTD
 Ekta Sharma,Lead Manager - Business Development,Primary Healthtech Private Limited
 Neeraj Bisht,Director,Printfuse Global Pvt Ltd
 Siddheshwar Panda,Co-Founder & CEO,Printpanda India Private Limited
 Anshul Anand,CEO,Priyankar Prasad
 Yogesh Deharia,Yogesh Deharia,PROCSOL INDIA MANAGEMENT CONSULTANT LLP
 SANCHIT GUPTA,DIRECTOR,Procydia
 Anjani Kumar Upadhay,Scientist,ProCyto Labs Pvt. Ltd.
 Kamal Peddinti,Managing partner,ProEnz Biosciences
 Saurabh Arora,Founder,Profrea Solutions Private Limited
 Yamuna Sastry,Founder,Project Financial Dignity
 Vaibhaw Dwivedi,Founder & CEO,Proleri
 Abhinav Chauhan,CEO/Founder,Promecens Entosystems Private Limited
 MINAL PATIL,MARKETING EXECUTIVE,Protectt.ai Labs Pvt. Ltd.
 Shashwat Sikka,Founder,Provakil
 Raviraj Kumar,Founder,Provoke Developers Private Limited
 Ketan Khanna,General Manager Alliance & Client relations,PROXGY
 Rajul Patkar,Founder and CEO,Proximal Soilsens Technologies Private Limited
 Kiratsinh Jadeja,Kiratsinh Jadeja,Proxy Gyan
 Kuldeep Jain,Deputy Head Finance,PROZO INTEGRATED LOGISTICS PRIVATE LIMITED
 NANDNI SARAOGI,BUSINESS HEAD,PrraniGanga
 DONKINA SANTHOSH,CEO,PuakaAagriAqua
 Akash Kumar Sahu,Founder & CEO,Publiconn Digital private Limited
 HARISH ADATIYA,CEO,PugArch Technology Pvt Ltd
 Vanlalmuansangi Khenglawt,Founder & CEO,"Puitu Tech Private LimitedDept of IT, Mizoram University, Tanhril, Mizoram - 796004"
 Haren Chelle,CEO and Co -founder,PULSEGEN TECHNOLOGIES PRIVATE LIMITED
 Deepak Rai,Deepak Rai,PULSEPLAY DIGITAL PRIVATE LIMITED
 SHAKTI SINGH,CEO,PURAKART INDIA PRIVATE LIMITED
 Albidora Jitem,Founder,Pure Dawai
 Ujjval Kant,Founder & Director,Pure Embrace Morningwale Farms LLP
 R K D Satya Prasad Gollakota,CEO,PUREWATT RENEWABLES PRIVATE LIMITED
 Anurag Kushwaha,Co-Founder & CTO,Pushpak AI
 Lamphrang Lyngdoh,IVCS Member,"Pynter IVCS, Pynursla Block"
 Shivansh Gaur,Co-founder,Pyzen Technologies Private Limited
 Hilmi Quraishi,Hilmi Quraishi,Qaff Innovatiosn Pvt. Ltd.
 Satish Mishra,Sales Manager,Qboid IoTech Private limited
 Hrutuja Salunkhe,Special project and Initiative Lead,QHills Technology Pvt. Ltd.
 Manash Kakati,Manash Kakati,Qoptars Private Limited
 Tushar Verma,Co-Founder,Qthrust Business Solutions Private Limited
 Abhraneel Saha,Cofounder and CTO,QTrino Labs Pvt Ltd
 Chandan Kumar Sahoo,Founder & CEO,Qualysec Technologies Pvt. Ltd.
 Chetna Bogra,Founder,QuantamQuip SoftTech Pvt Ltd
 Rikteem Bhowmick,Technical Lead Quantum Communication,Quantum AI Global ( QAIG Pvt. Ltd)
 Sanjay Chittore,Founder & CEO,Quantum AI Global (QAIG)
 SABU M THAMPI,FOUNDER & MANAGING DIRECTOR,Quantumweave Intelligence
 Abhishek Bhattacharjee,Abhishek Bhattacharjee,Quasitech Innovations Pvt. Ltd.
 Sathyajit Neogi,Director,QUIVIVE AUTOMATA PRIVATE LIMITED
 Sahasrabda Sai Pradhan,Director,Quixotix Bioprinting Private Limited
 MANIK SEHGAL,FOUNDER,RAASA KARTS INDIA PRIVATE LIMITED
 Abhinandan Bhargava,"Co-Founder, CMO",RAAV Techlabs Pvt. Ltd.
 Rahul Karn,Founder,Rabstract Technologies private ltd
 TISHYA SAMBODHI,CO-FOUNDER,RAFTECH SOLUTIONS
 Akshay Jadhav,"Founder, director",Raftech Solutions Pvt Ltd
 Dantis Joe Shaji,Co-Founder / Director,Raftel International
 Pragya Singh,Head - Strategic Alliances,Raha Insure
 Yati Bajaj,Marketing Manager,Raheja Solar Food Processing Pvt. Ltd.
 Gaurav Pundir,Manager,Rajanyas Ecommerce Private Limited
 Kartik Gaggar,Slo Mo Experiences Private Limited,Rajasthan Studio
 Rajesh Palani,CEO,Rajesh Laboratories Pvt. Ltd.
 Raksheet Jain,Raksheet Jain,Raksheet Jain
 Kalyan Dani,Founder,Ram Antivirus Pvt Ltd
 Pooja Goswami,Director,RAMJA Genosensor Pvt.Ltd.
 Chirag R,Director,RankBook Learning and Software Solutions Pvt Ltd
 Pooja Mishra,Senior Vice President,Raphe mPhibr Private Limited
 SURAJ ANAND,SURAJ ANAND,Rapid boom educational hub
 Nipun Sawhney,CEO,Rapidx Bio
 Rohit Gulati,RARR TECHNOLOGIES PRIVATE LIMITED,RARR TECHNOLOGIES PRIVATE LIMITED
 Saral Jain,Saral Jain,Rashail Tech Labs Private Limited
 DHEERAJ GUPTA,CEO,Ravian artificial intelligence pvt ltd
 Biplab Bhattacharjee,Biplab Bhattacharjee,ravvani exports.llp
 Rabbani Bagwan,Founder & Director,RBOLO INFO SERVICES PRIVATE LIMITED
 Subhasish Nath,Program Director,Rchobbytech Solutions Private Limited
 Jayant Karve,Director and CEO,RCupe Lifesciences Pvt Ltd
 JAI KANT,JAI KANT,RDRKD RUBBER AND PLASTIC INDUSTRY PVT LTD
 Mithil Kotian,Consumer experience specialist,React labs private limited
 Chintan Mishra,Founder and CEO,Rebhu Computing
 Harsh Bajoria,Director,Recex Private Limited
 Kanishka Sharma,Operations Manager,RecordsKeeper.AI
 Srivathsa GS,CEO,Recues Biosciences Pvt Ltd
 Vayu Jain,Managing Director,RECYCLEKART PRIVATE LIMITED
 Vedant Gandhi,Vedant Gandhi,recycleX Pvt Ltd
 Sumit Pandita,Senior Sales Manager,Red Piranha
 Nupur Aggarwal,Lead B2B,Redcliffe Hygiene Pvt Ltd
 ARUN KOTHARAMATH,COO,Redinent Innovations Pvt Ltd
 Sumit Saha,Head - B2B,Redplum Pvt Ltd
 SEONGHYEON HAN,Manager,ReFeed Inc.
 TUSHAR SUHALKA,FOUNDER,REGRIP INDIA PRIVATE LIMITED
 Puneet Mehrotra,Director,Reinste Nano Ventures Pvt Ltd
 Akshay Gopal Sharma,CEO's Office,Reinvent Agrochain Private Limited
 Vivek Goel,Director,Remine India Private Limited
 Nitin Mathur,Nitin Mathur,Rentit4me
 Ritesh Sharma,Senior Vice President,Rentology Global Solutions Private Limited
 BHERAV JAIN,FOUNDER,REPROC
 Aakash Bhardwaj,CEO,ReShield
 Pravat Panda,Founder,Retrod
 Yash More,Founders Office Executive,Revamp Moto Pvt. Ltd.
 Pankaj Bagri,Founder,Revhead Spare Solutions Pvt Ltd
 POOJA M,CEO,Revino Solutions Private Limited
 PRIYANKA BAIRATHI,CDO,REVOQUANT AI
 Kapil Dev Soni,CEO,Revoquant Ai Private Limited
 Ashutosh Prakash Singh,Founder Director,Revrag AI Technology Private Limited
 Prince Thomas,Founder and CEO,Rextech Studios
 Prashant Kangad,Prashant Kangad,Reyansh Technologies
 Sarthak Ladhani,Senior Product Marketing Manager,Rezo.ai
 Srikanth reddy Aileni,Director Business Development,RFMW INNOVATIONS LAB PVT LTD
 Sravya Dumpala,8123427455,Rhinostream technologies Private Limited
 Subhadeep Saha,Director,Rho Beverages Private Limited
 Balarishisha Sten,Founder,Rida Sten Food Cottage
 SHUBHANIT KESHRI,CEO,RIJUVALIKA TECHNOLOGIES PRIVATEÂ LIMITED
 SHUBHANIT KESHRI,CEO,RIJUVALIKA TECHNOLOGIES PRIVATE LIMITED
 Kaushal Rajeev Kothari,Founder,Ripple Healthcare Private Limited
 Harish Tyagi,Director,Risk Mind Technologies Cloud Solutions Private Limited
 Chetna Gupta,"AVP- Business Operations, HR & Finance",RK Associates Valuers & Techno Engineering Consultants Pvt Ltd
 Dinesh Kumar,Founder & CEO,RM Furniture Rental Pvt. Ltd.
 Nitin Sharma,Nitin sharma,Road Pilot technologies pvt ltd
 Vishesh Kingrani,Director,Roadlyne Logistics Solutions Private Limited
 Anil Nair,Executive Director,Robo Bionics (Bionic Hope Private Limited)
 Roomi Jan,Marketing Manager,Roomi Jan
 AYUSH SINGH,CEO,ROOMSVITAL
 Avinash Karale,CEO,Rowbotix Agtech Pvt Ltd
 Jaskaran Dhillon,Managing Director,Royal Guild Financial Services Private Limited
 Vinod Gupta,Founder and CEO,RRB Advisory Services Pvt Ltd (Brand: Clarigro)
 Anandita Kathuria,CEO,Ruby Raang Studio
 Arushan R Katyal,Director,Rudra Samrat OPC Private Limited
 Dr Rajkumar Halder,Mr Gagan Hanjon,Ruhvenile Biomedical OPC Pvt. Ltd. (Non -Member)
 Ashok Gorre,Ashok Gorre,Rural Rise Agrinery LLP
 Venkata Sai Vamsi P,CTO,Rutakshi Technologies Pvt Ltd
 Shivangi Vardhan,Marketing & Alliances Lead,Rx One Care Pvt Ltd
 Deepak Kumar Rauniar,CEO,Ryan Electric
 Chirag Shah,CEO,Rymo Technologies Pvt Ltd
 SHIKHA NAGORI,PARTNER,SA DIGITAL
 MONICA SHRIVASTAVA,CEO/Co-Founder,SAAFKAR
 Astha Ratan,Founder,Saantha
 Vishal Jain,vishal jain,Saarthi AI Private Limited
 Sasank Patro,Founder and CEO,Sabhyasha Retail Tech Pvt. Ltd.
 Nipul Vanani,Managing Director,Saffron Ortho Care Private Limited
 Amol Kalugade,amol kalugade,SaffronEdge Agro private limited
 Ila L,Ila Longani,Sagepresage Consulting (OPC) Private Limited
 Ghanshyam Chaudhari,Co-Founder and CEO,Sahajananda Tech Services and Research Centre Private Limited
 Aliasgar Calcuttawala,Chief Technical Officer,Saif Automations Services LLP
 Pratik Meher,Director,Sakura Biotech Private Limited
 Nikhil Goel,"CEO, Co-founder",SalaryBox
 Urmila Shinde,Operation Manager at CEO Office,SALEMAX PLUS TECHNO PRIVATE LIMITED
 ADITYA SHUKLA,FOUNDER & CEO,Saltech Design Labs Private Limited
 Samrat Kaushik,Founder and Chief Executive Officer,Samak Technologies Private Limited (Brand Name: Moo Rakshak)
 Rishabh Bajaj,Director,SAMANDRAY VENTURES PRIVATE LIMITED
 Samarth Garg,CEO & Co -Founder,Samarth Garg
 Sameer Ahmad Mir,Entrepreneur,Sameer Ahmad Mir
 Smitha T,Manager,SAMPUSTA
 Prashant Deshpande,Prashant Deshpande,SAMSAN Technische Labs Pvt Ltd
 Dheerendra R Honnatti Bangalore,Director,SAMSRUSHTI HEALTH TECHNOLOGY AND SOLUTIONS PVT LTD
 Naveen Verma,Manager,Sandee Foods
 Prerna Singh,CEO,SANDERLING EXPERIENCES PRIVATE LIMITED
 AMIT SRIVASTAVA,Founder & CEO,Sangadak Technologies Private Limited
 Sankalp Jain,Founder and CEO,Sankalp Jain
 Renuka Kumar,Director,Sankul Capital Services Private Limited
 Rohit Gogna,CEO,Sanrachna Prahari Pvt Limited
 GAURAV JADHAV,Director,SANSUN FOODS PVT.LTD
 Sanya Rajpal,CEO,Sanya Rajpal
 Ashwini Tripathi,Chief Executive Officer,SaraSan Health & Hygiene Pvt.Ltd.
 Sarvar Singh,Sarvar Singh,Sarbit Innovations Pvt Ltd (a startup incubated at IIT Jodhpur)
 Akshay Garg,CEO,Sarus Agro Private Ltd
 Atul Anand,CEO,Sarva Suvidhaen Private Limited
 Arvind Yadav,CMO,SARVATRO MEDIA PRIVATE LIMITED
 VARUN KUMAR,Co-Founder,Sarvdhan
 Chintu Kinger,Founder & CEO,Satat Gram Services Private Ltd
 Shantanu Bhattacherjee,Director,Satiq Concrete Manufacturer Private Limited
 Shravan Bhati,Founder & CEO,SatLeo Labs Private Limited
 Vasanth Kumar,Sales and Marketing Executive,SatoriXR Private Limited
 Umang Buddhdev,GIS Specialist,Satsense Solutions Private Limited
 Sarvesh Kurane,Marketing Head,SatSure
 Kalyani Kunche,Kalyani R Kunche,Satyananda Technologies Pvt Ltd
 Aditya Narain Misra,CEO,Saurja(Urjacart Energy Labs Pvt Ltd)
 Kumar Saurav,Founder,Savin Communication Private Limited
 Savita Srivastava,Founder,Savita Srivastava
 Kamal Goyal,Director,SBNX INNOVATION (OPC) PVT LTD
 Manjunath Gogi,Founder & CEO,ScaleKNOT
 Ayush Singhal,Founder,ScanKart AI
 Rajat Vardhan,"Founder, CEO",Scanxt Scientific Technologies Pvt Ltd
 Dr Jikku Jose,Founder and CEO,SCIRE SCIENCE
 FANINDRA PANDEY,FANINDRA PATI PANDEY,SCITECHESY RESEARCH AND TECHNOLOGY PRIVATE LIMITED
 Rahul Singh,Rahul Singh,Sciverse Solutions Private Limited
 Jahnavi Reddy Dorigallu,Director,SCJR Consumers Private Limited
 Ayush Kumar,Assistant Manager,ScoreMe Solutions Pvt Ltd
 Vishal Kumar,Vishal Kumar,Scrap Saathi
 SHRESTHAA PATEL,SHRESTHAA PATEL,SCYLENE WELLNESS PVT LTD (BRAND NAME: WISHFIT)
 PRASANTH KUMAR KATIKALA,MANAGING DIRECTOR,SEAVIZ AGRI TECH PVT LTD
 Arvind Kumar,Founder,SecretEye Telematics Pvt. Ltd.
 Aravind Kumar,CEO,Section Infin8 Foundation
 Tapendra Dev,Founder & COO,Secure Blink Tech Private Limited
 Hiren Sejpal,Director,Secure Edge Solution Private Limited
 Archana Verma,Archana Verma,Security Lit Private Limited
 Chirayu Rawal,Assistant Manager Marketing,Sehatpro Technologies PVT LTD
Prof. Amit Acharyya,Amit Acharyya,SenseHealth Technologies Private Limited
 CHOCKALINGAM AMBALAVANAN,CHOCKALINGAM AMBALAVANAN,SENSIA TEXTILES PRIVATE LIMITED
 Pankit Desai,CEO & Co -Founder,Sequretek
 Saad Jamal,CEO,Serri Tech Labs Private Limited
 Utkarsh Vaishnav,Utkarsh Vaishnav,Setu Global Innovations Pvt. Ltd.
 Vaibhav Ram,"Founder, CEO",SETV
 MANISH BHARDWAJ,Director & CEO,SHAFT ENERGIES PVT. LTD.
 Abhay Kumar Chandalia,Abhay Kumar Chandalia,SHARE SAMADHAN LIMITED
 VIPUL BHATIA,CHIEF FINANCE OFFICER,SHAYRA FOOD PRIVATE LIMITED
 Sunita Jakhar,Director,Shekhawaati Designs & Fashion Pvt Ltd
 Akash Bhanjadeo,Sherlock Studio,Sherlock Studio Private Limited
 Rajiv Kumar Sharma,Director,SHHUDHAM EKATVA GR ORGANICS PRIVATE LIMITED
 Pawan Kumar,CEO- Co Founder,Shipease Technologies Private Limited
 Shaswat Sharma,Shaswat Sharma,ShipGlobal.in
 Tejas Khera,Owner,ShipUniversal
 Anand Parikh,Founder and CEO,Shira Medtech
 SUMIT DORAYA,DIRECTOR,SHISHUNIRMAN HEALTHCARE PRIVATE LIMITED
 Divesh Gupta,divesh gupta,ShivasTechVision
 Hitesh K Sharma,Founder,Shoonya Mobility Private Limited
 Rounak Chindalia,Founder,ShopIQ
 SHREYA GHOSH,SHREYA GHOSH,SHREYANI CONSULTING AND TESTING SERVICES PVT LTD
 Bhavay Garg,"Co-Founder, CEO",Shubhavay Technologies
 Manoj Doogra,CEO/Founder,SHUCAE FILMS
 Paritosh Sharma,Founder,Shunya AI( GAP8 EDUCATION VENTURES PRIVATE LIMITED)
 Sagar Nath,Director,Shunya India Agritech Pvt.Ltd.
 Harsh Dangayach,Founder,Shvaas Sustainable Solutions Private Limited
 Shefali Walia,shefali walia,Shw Innovation Suite OPC pvt ltd
 Rajat Sharma,Advisor,Sigma Entrepreneurship Development & Incubation Center
 Namratha Tejasvi,Program Manager,SignDesk
 SANTHI THAKUR,DIRECTOR,Signite Technology Pvt Ltd
 Sandeep Raghuwanshi,CEO,Silae ESG Solutions Pvt Ltd
 Simran Khara,Director,Simk Labels Private Limited
 Preksha Mehta,ïƒŸïƒžïƒ™ïƒïƒïƒ¯ïƒ°ïƒ°ïƒ¨ïƒ”,Simple Telecom Pvt Ltd
 Mahir Pasrija,Founding Team Member,Simpler Today (Cognitive Eight Legal Technologies Private Limited)
 Neha Purohit,CMO,Simply Unusual Pvt. Ltd.
 Sunil Shrivastava,Sunil Shrivastava,Sisir Radar
 SRIKANTH MUPPALLA,DIRECTOR,SKILLDZIRE TECHNOLOGIES PRIVATE LIMITED
 Raghav Sharma,Founder,Skillonation kids
 Ruchi Gupta,Ruchi Gupta,SkinMinds Derma Private Ltd
 Aishwarya Nagarajan,Director,Skinny Secrets Private Limited
 Gautam Banerjee,Gautam Banerjee,Skiom Pvt Ltd
 DARSHANA JAIN,FOUNDER CMO,SKITII
 Jitender Chhabra,Founder,SkyJumper Sports and Amusements Pvt Ltd
 Tushar Vadera,Cofounder,Skyvo Technologies Pvt Ltd
 Himansu Sekhar Panda,CEO/MD,Skyy Skill Academy
 Himansu Sekhar Panda,MD & CEO,SkyySkill Academy Private Limited
 ARMAN SOOD,Co- Founder,Sleepy Owl Coffee Pvt Ltd
 Vishal Laddha,CEO and Co -Founder,Smaart Eats LLP
 Sadhu Charan Moharana,Director,Small Signals India Pvt Ltd
 Sameer Srivastava,Sam Srivastava,Smarklabs Media Pvt Ltd
 Vibhu Kumar,Director,Smart Handicrafts
 Rohit Bajaj,Director,SmartQR Technologies Private Limited
 Hemant Konde,Director,SmartU Krishi
 BIBHUTI BIKRAMADITYA,Director,Smartway Electronics Private Limited
 Gulshan Saluja,Founder,Smilebird Healthcare Private Limited
 SWARNALATA DEI,SWARNALATA DEI,SMPS ELECTRIC CONTROL PVT. LTD
 Palak Arora,Partner,SNP SUPERFOODS LLP (unit of SatGuru Superfoods)
 Abhishek Goyal,Founder,Socialveins
 Priyank Agrawal,Managing Director,Softdoc Management Private Limited
 Smrita Pradhan,Smrita Pradhan,Soielife
 Abhinav Aggrawal,CEO,SOL9X
 Nikhil Chonde,Director,Solar Basket
 B N Mishra,Founder,SOLVISER INDIA PRIVATE LIMITED
 Varsha Agarwal,Business Head,Solwing Impex LLP
 Anil Soni,Director,SONIJI YTS PRIVATE LIMITED
 SAURABH MAURYA,MD,SONSHIV INDUSTRIES PARIVTE LIMITER
 Arvind Ramchandran,"Arvind Sharma, Co -Founder & Chief Strategy Officer",SooryaEV India Private Limited
 Pankaj Deval,Director- Business Operations,Sooryauday Aerial Vehicles Private Limited
 Anjo Joseph,Director,Sous Itineraires International Pvt. Ltd
 Vaibhav Jha,Vaibhav Jha,Sowl ETraders Pvt. Ltd.
 Saurabh Kadam,CEO,SP Agro Innovations
 Prabal Singh,Founder,SP Rural India Services Private Limited
 Preeta Sharan,Director,SP4 AMEYA INNOVATION LABS PRIVATE LIMITED
 Rakesh Jain,Co-Founder,Space Age Foods LLP
 Masook Apurwa,CEO Director Founder,SpaceFields Private Limited
 Apurwa Masook,Founder CEO,SpaceFields Pvt Ltd
 HARI SHANKAR R L,Founder,SPACETUG PRIVATE LIMITED
 Harshit Thakral,Director,Spanda 3D
 Manjari Soni,VP - Sales & Marketing,Spark TG Info Pvt Ltd
 Nikhil Bhatnagar,Founder and CEO,Sparkvr technologies Pvt. Ltd.
 Rahul Joshi,CEO - Authorized Signatory,Sparrow - API Testing Platform
 Sivadhanush Uppalapati,Founder & CEO,Speekon Universal Private Limited
 Kunal Shah,Founder,Spiritual Energy Private Limited
 Shashank Shekhar,Director,Spotfills Services private Limited
 Rakesh Kumar,MD & FOUNDER,SQUARE INSURANCE BROKERS PRIVATE LIMITED
 Shyamli Sahai,Director,Srajan Data Analytics Private Limited
 SESHI REDDY K,BUSINESS HEAD,SRESHTA NATURAL FARMERS LLP
 SRISHTI SHARMA,SRISHTI SHARMA,SRISHTI SHARMA
 SUBHAM SAWARNKAR,CEO-COFOUNDER,SRQ ENGINEERS PARCEL & HAUL PRIVATE LIMITED
 BALRAM SINGH RAJORA,DIRECTOR AND CEO,STAR NUKE CONSULTING ENGINEERING SERVICES PRIVATE LIMITED
 Shambhavi Tiwari,EA to CEO,StarClinch
 NITIN SRIVASTAV,Nitin Srivastav,Stars of Pantnagar Pvt Ltd
 AAYUSH GUPTA,VP OF BUSINESS ALLIANCES,STARTERS CFO
 Pukhraj Parikh,co-Founder,Starttech Educational Services LLP
 Shishir Gupta,Dr. Shishir Gupta,StartupLanes
 Madhur Mohan Malik,Founder,StartupNews.fyi
 Monika Yadav,Cofounder & CEO,STEAM Varsity
 Sumir Chadha,Co Founder,SteamPRO
 Bharat Mandot,Bharat Mandot,STELCORE RETAIL LLC
 Ritika Amit Kumar,"CEO, Co-founder",STEM Metaverse
 SEONG WOOK HWANG,CEO,StepHow Inc.
 Nzitonda Kiyengo,Legal representative,STES GROUP
 Amit Srivastava,CEO,Stillsweb Technologies Private Limited
 Subhash Chandra H,Co Founder,Stoicheiodis Scientia Private Limited
 Krishna Siddhapura,Co-Founder,Story Tailor Kids LLP
 Taha Khalid,CTO,STPI LUCKNOW
 Rahul Bhola,Rahul Bhola,Studio Agama
 Santosh Kumar Gupta,Santosh Gupta,Studiovity Pvt. Ltd.
 Tripti Verma,Tripti Verma,Study At Home Private Limited
 DHAWAL GUPTA,CEO,SUBHOT ENTERPRISES PRIVATE LIMITED
 SWARNIMA SINGH,DIRECTOR,Success arrow SuperFoods Pvt. Ltd.
 Sudhanshu Sharma,founder & ceo,SUDHANSHU SHARMA
 Sakshi Jain,Sakshi Jain,SUHORA Technologies Private Limited
 SANTHOSH V,FOUNDER DIRECTOR AND CEO,SUKTHA SOLUTIONS PVT LTD
 Manjeet Yadav,Founder & Managing Partner,Suma Technology Services LLP
 DAKSH PHUKELA,DIRECTOR,SUMIOM INNOVATIONS PRIVATE LIMITED
 Vedvyas V,Founder & CEO,Suncharge Smartgrids India Private Limited
 Surajit Kundu,Surajit Kundu,Sundarban chemicals pvt Ltd
 Kamal Nayan,Assistant Manger: Strategic Alliances and Partnerships,SUNFOX TECHNOLOGIES PRIVATE LIMITED
 Chhavi Jain,Associate Director,Surfboats Solutions Private Limited
 Akash Chandrakar,CTO,Surobhi Agro Industries Pvt Ltd
 Vijayakumari Kakarla,Founder,SUS TECH INNOVATIONS
 Garima Capoor Nanda,Director,SusNovation Ventures Private Limited
 Anurag Gupta,Founder,Sustain Vibe Innovations Private Limited
 BIJETA SINGH,Manager,Sustainable Reference Analytics Pvt Ltd
 Jongpong Chiten,Director & Co -founder,Sutsung Enterprise Private Limited
 Manoj Kadam,Founder,SVAM Agrofoodex Pvt Ltd
 Sayanika Deka,Founder,SVASTHA SAMRIDDHI PRIVATE LIMITED
 Dhruvesh Maiya,Program Head,Svatahbio innovations
 Neha Bharti,Founder & CEO,Swadha Agri Pvt Ltd
 Swetabh Pareek,Founder,Swetabh Pareek
 Neeraj Kumar,Director,Swiss Agro
 Pooja Sawant,co founder,Swizuka Recyweave LLp
 Ashish Syangbo Tamang,Ashish Syangbo,Syangbo's living food and beverages Pvt Ltd
 Swetha Kumari Koduru,Founder & Director,Sybiomics Technologies Private Limited
